# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cycles:Pu'
# Event count (approx.): 3205944355
#
# Overhead  Command  Shared Object         Symbol                 
# ........  .......  ....................  .......................
#
    98.01%  hw1      hw1                   [.] vm_multiply
     0.67%  hw1      libc.so.6             [.] __random
     0.63%  hw1      libc.so.6             [.] __random_r
     0.27%  hw1      [unknown]             [k] 0xffffffff8c20115e
     0.18%  hw1      hw1                   [.] initialize
     0.12%  hw1      hw1                   [.] rand@plt
     0.11%  hw1      libc.so.6             [.] rand
     0.01%  hw1      ld-linux-x86-64.so.2  [.] _dl_lookup_symbol_x
     0.01%  hw1      [unknown]             [k] 0xffffffff8c2001c4
     0.00%  hw1      ld-linux-x86-64.so.2  [.] brk


#
# (Tip: Generate a script for your data: perf script -g <lang>)
#
